PARAMETERS
Network: deep_decoder
Loss: mse_l1
Optimizer: sgd
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	59.2044787182	1.00589203867	0.0912860920243
0	2.37422227859	4.29599259518	0.32429690242	0.012634315924
500	1.18768668175	4.91456582032	0.251912768078	0.0727050972676
1000	0.862349271774	5.60110284519	0.22523023135	0.109781960857
1500	0.694901287556	6.26113336488	0.215589054236	0.138957343943
2000	0.590569019318	6.83682687309	0.210006146016	0.160130679355
2500	0.518490850925	7.34783318454	0.20574320315	0.176141602845
3000	0.465164154768	7.91316744569	0.200891728023	0.188452704442
3500	0.423835366964	8.51359706778	0.1954085238	0.201377279265
4000	0.390874743462	9.08425868946	0.19110081672	0.212463237967
4500	0.363794595003	9.63091254011	0.187462773287	0.221211361109
5000	0.34110057354	10.1547460849	0.183995758386	0.228852126178
5500	0.321780145168	10.6654216986	0.180609269935	0.235625504245
6000	0.305124282837	11.1382242188	0.177427920847	0.24137755959
6500	0.29062011838	11.6141878581	0.174812795746	0.246111865622
7000	0.277839481831	12.0749072582	0.172403467389	0.249146709361
7500	0.266473710537	12.519502991	0.170160597699	0.251171020275
8000	0.256276667118	12.9510251532	0.168046639495	0.252566735983
8500	0.247095629573	13.3807623651	0.166006039566	0.253575166626
9000	0.238784015179	13.8067892223	0.164130696322	0.2547378675
9500	0.231215417385	14.2150427187	0.162539791626	0.257243641489
10000	0.224303990602	14.6228821137	0.161228810107	0.259526107728
